,AWARD TITLE,PROPOSAL NO,PROPOSAL TYPE,PRIME ACCOUNT,AWARD NO,AWARD AMOUNT,AWARD PROJECT PI PID,AWARD PROJECT PI,AWARD PI,SPONSOR,SPONSOR TYPE,SPONSOR CODE,ARRA FUNDING,OTHER PERSONNEL,AWARD ADMIN DEPT NO,AWARD ADMIN DEPT,AWARD ADMIN SCHOOL,AWARD PROJECT PI DEPT NO,AWARD PROJECT PI DEPT,AWARD PI HOME DEPT NO,AWARD PI HOME DEPT,AWARD PI HOME SCHOOL,OFFICIAL REPORT DATE,REPORT MONTH,FISCAL YEAR,PROJECT BEGIN DATE,PROJECT END DATE,AWARD MECHANISM,AWARD TYPE,CHESS CODE,PRIME SPONSOR CODE,PRIME SPONSOR,PAYMENT BASIS,PAYMENT METHOD,INVOICE FREQUENCY,Determined Dept,Determined College,SPONSOR AWARD NO,F&A ACTIVITY TYPE,CFDA NO,FINAL REPORT DUE DATE,PROGRAM DESIGNATION,AWARD NOTICE RECEIVED,PASS THRU AGENCY
3534,Project Early Childhood Special Education Leaders (ECSEL),14-0642,New,530203,A15-0076-002,250000,800004224,"Smith, Jane","Correa, Vivian",US Department of Education (DOED),Federal,5500,No,"Baughan, Cynthia; Smith, JaneDiane; Shue, Pamela; Algozzine, Robert; Lamorey, Suzanne;",['recTEEQhVGGL85SyK'],Special Education and Child Development,College of Education,21000,Special Education and Child Development,21000,Special Education and Child Development,College of Education,7/1/2015,7,2016,2014-09-01,2020-12-31,Supplement,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Special Ed & Child Dev,Education,H32K140105-15 GAN2,OR - Organized Research (110),84.325,,,,
2524,Establishing Freshman to Senior Bookend Experiences to Provide Academic and Professional Introductions to Standardization,14-0618,New,530217,A15-0096-001,67002,800843652,"Ogle, Michael","Ogle, Michael",National Institute of Science and Technology (NIST),Educational and Research Institutions,17846,No,,['rece0sXswTnNPAOWY'],Systems Engineering and Engineering Management,College of Engineering,21305,Systems Engineering and Engineering Management,21305,Systems Engineering and Engineering Management,College of Engineering,10/28/2014,10,2015,2014-07-01,2017-05-15,New,Cooperative_Agreement,02 - Instruction,,,,,,Systems Engin & Engin Management,ENG,70NANB14H246,SI - Sponsored Instruction (101),11.62,,,,
2604,Reliability Study of Select GaN Power Semiconductor Devices,18-0718,New,560608,A19-0036-001,50000,800788746,"Parkhideh, Babak","Parkhideh, Babak",Google,Business and Industry,8590,No,,['rechx0G6DDzq9e11j'],Energy Production and Infrastructure Center,College of Engineering,21900,Electrical and Computer Engineering,21900,Electrical and Computer Engineering,College of Engineering,7/11/2018,7,2019,2018-08-15,2019-06-15,New,Cooperative_Agreement,01 - Research & Development (R&D),,,,,,EPIC,ENG,Statement of Work No. 1,,0,,,,
1156,2018-2019 Governor's Institute on Substance Abuse Scholarships,19-0392,New,530820,A19-0172-001,10000,800014232,"Lassiter, Pamela","Lassiter, Pamela",Governors Institute on Alcohol and Substance Abuse,Local Government,17320,No,,['recnUAZGqEZd0S3D3'],Counseling,College of Education,20950,Counseling,20950,Counseling,College of Education,3/12/2019,3,2019,2018-07-01,2019-06-30,New,(20 - 25) Contract,04 - Student Support,,,,,,Counseling,Education,Agreement dated 11/29/2018,SS - Student Services (160),93.959,,,,
2548,Performance Evaluation of Cable Barriers on a 6:1 Sloped Median under MASH TL-3 Conditions,16-0576,New,530436,A17-0018-001,221438,800413993,"Fang, Hongbing","Fang, Hongbing",North Carolina Department of Transportation (NCDOT),State Government (NC),17457,No,,['recr5XMwntc2PfxCf'],Mechanical Engineering and Engineering Science,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,6/10/2016,6,2016,2016-08-01,2019-02-28,New,(20 - 25) Contract,01 - Research & Development (R&D),17771,Federal Highway Administration (FHWA),,,,Mech Engineering & Engineering Sci,ENG,RP2017-13,OR - Organized Research (110),20.205,10/31/2018,,,
3709,Confidential,14-0622,New,530160,A14-0235-002,42520,800975091,"Hofmann, Tino","Fiddy, Michael",Confidential,Federal,Confidential,No,,['rec4eqyjyns2gmrWT'],Center for Optoelectronics and Optical Communications,College of Liberal Arts and Sciences,18800,Physics and Optical Science,18800,Physics and Optical Science,College of Liberal Arts and Sciences,4/23/2015,4,2015,2014-06-15,2020-06-14,New,(10 - 15) Grant,01 - Research & Development (R&D),Confidential,Confidential,,,,Optoelectronics Center,CLAS,W911NF - Amend 1,OR - Organized Research (110),12.431,,,,
3959,Fundamentals of material removal in silicon carbide for freeform optics,16-0432,New,560314,A16-0187-003,500,800201296,"Davies, Matthew","Davies, Matthew",University of Rochester,Educational and Research Institutions,12636,No,"Evans, Christopher; Owen, Joseph;",['recnMHQAzyLugKpMo'],Center for Precision Metrology,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,11/3/2017,11,2018,2016-01-01,2019-12-31,,(20 - 25) Contract,01 - Research & Development (R&D),6010,All Other Business and Industry,,,,Prec Metrology & Intellignt Mfg Ctr,ENG,416820G,OR - Organized Research (110),0,,,,
1613,Breast Cancer for Young Women,17-0456,New,560641,A17-0277-001,50050,800817061,"Matesich, Joseph","Matesich, Joseph",Atrium Health (formerly Carolinas HealthCare System),Business and Industry,10925,No,"Olson, Mark; Bryant, Thomas;",['recSMIohx8VyAID0b'],Data Science Initiative,Academic Affairs,23000,Deans Office College of Computing and Informatics,23000,Deans Office College of Computing and Informatics,College of Computing and Informatics,11/27/2018,11,2019,2017-02-01,2018-10-31,New,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Data Science Initiative,CCI,2975-2017-0456,OR - Organized Research (110),0,,,,
2107,UNC Charlotte Center Collegiate Wellness and Recovery Program,15-0582,New,530243,A15-0189-001,125000,800885495,"Dooley, Beau","Dooley, Beau",University of North Carolina General Administration (UNC GA),Educational and Research Institutions,13054,No,,['reciZuzoEPi3Dyi1C'],Center for Wellness Promotion,Student Affairs,30105,Center for Wellness Promotion,30000,Health Services,Student Affairs,2/20/2015,2,2015,2014-12-15,2015-06-30,New,(20 - 25) Contract,06 - Other,17409,"NCDHHS Division of Mental Health, Developmental Disabilities and Substance Abuse Services (MHDDSAS)",,,,Wellness Promotion,Student Affairs,9100009-02,OS - Other Sponsored Activities (401),93.959,,,,
1108,CfM Industry Membership Funds Yr 5 and 6 of Phase I,16-0099,New,560301,A16-0123-002,25000,800002491,"Fiddy, Michael","Fiddy, Michael",All Other Business and Industry,Business and Industry,6010,No,,['rec4eqyjyns2gmrWT'],Center for Optoelectronics and Optical Communications,College of Liberal Arts and Sciences,18800,Physics and Optical Science,18800,Physics and Optical Science,College of Liberal Arts and Sciences,6/29/2016,6,2016,2015-08-01,2017-01-31,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),6010,All Other Business and Industry,,,,Optoelectronics Center,CLAS,Lincoln labs,OR - Organized Research (110),0,,,,
3262,Collaborative Research: I/UCRC for Robots and Sensors for the Human Well-being,14-0590,New,530205,A15-0078-003,65000,800211846,"Xiao, Jing","Xiao, Jing",National Science Foundation (NSF),Federal,5738,No,"Akella, Srinivas",['recyLjbc94uVNYe4R'],Computer Science,College of Computing and Informatics,23200,Computer Science,23200,Computer Science,College of Computing and Informatics,9/2/2015,9,2016,2014-09-15,2019-08-31,,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,CS,CCI,1439695,OR - Organized Research (110),47.041,,IUCRC,,
3897,Tailoring Mg-alloy System through Composition/Microstructure/Severe Plastic Deformation for Army Extreme Dynamic Environment Applications,17-0194,New,530515,A17-0178-004,25661,800367744,"Wei, Qiuming","Wei, Qiuming",Johns Hopkins University,Educational and Research Institutions,12050,No,,['recr5XMwntc2PfxCf'],Mechanical Engineering and Engineering Science,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,9/11/2018,9,2019,2016-11-10,2019-12-31,,(20 - 25) Contract,01 - Research & Development (R&D),19286,DOD DA Army Research Laboratory (ARL),,,,Mech Engineering & Engineering Sci,ENG,2003292859 MOD4,OR - Organized Research (110),12.63,,,,
3253,"Cooperative Research Initiative for Dynamic, Modular, and Multi-Axis Nano-Mechanical Measurements",13-0548,New,501988,A14-0086-003,68641,800011917,"Smith, Stuart","Smith, Stuart",National Institute of Science and Technology (NIST),Educational and Research Institutions,17846,No,,['recr5XMwntc2PfxCf'],Mechanical Engineering,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering,College of Engineering,2/26/2015,2,2015,2013-10-01,2015-11-30,Supplement,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Mech Engineering & Engineering Sci,ENG,70NANB13H195- mod 3,OR - Organized Research (110),11.609,,,,
2944,Analyze adsorbable fluorine contents in samples from CDM Smith/APTIM,18-0900,New,530766,A18-0279-001,600,800930643,"Sun, Mei","Sun, Mei",CDM Smith,Business and Industry,22670,No,,['recuZZ7yEPgD0RdZe'],Civil and Environmental Engineering,College of Engineering,22200,Civil and Environmental Engineering,22200,Civil and Environmental Engineering,College of Engineering,10/10/2018,10,2019,2018-03-01,2018-06-30,New,(20 - 25) Contract,06 - Other,5522,Department of Defense (DOD),,,,Civil and Environmental Engr,ENG,2975-218-0900,OR - Organized Research (110),12,,,,
3424,Agility In Depth: A formal framework for cyber agility composition,14-0720,New,530307,A15-0293-001,70000,800682124,"Al-shaer, Ehab","Al-shaer, Ehab",Army Research Office (ARO),Federal,5564,No,,['recm9Y4qUnFK0GBja'],Software and Information Systems,College of Computing and Informatics,23300,Software and Information Systems,23300,Software and Information Systems,College of Computing and Informatics,7/9/2015,7,2016,2015-07-01,2019-05-14,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,SIS,CCI,W911NF-15-1-0361,OR - Organized Research (110),12.431,,,,
393,Identifying and implementing Domestic Violence Shelter rules reduction strategies,15-0702,New,560233,A15-0253-001,4368,800406689,"Kulkarni, Shanti","Kulkarni, Shanti",Safe Alliance,Nonprofit Organization,22208,No,,['recAFo8Og11VK3jsh'],School of Social Work,College of Health and Human Services,22800,School of Social Work,22800,School of Social Work,College of Health and Human Services,5/5/2015,5,2015,2015-05-15,2015-12-31,New,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,School of Social Work,CHHS,2975-2015-0702,OS - Other Sponsored Activities (401),0,,,,
2489,NSF Center for Metamaterials Phase II,17-0884,Supplement,530442,A16-0263-004,45000,800754593,"Aggarwal, Ishwar","Aggarwal, Ishwar",NSF Directorate for Engineering (ENG),Federal,21962,No,,['rec4eqyjyns2gmrWT'],Center for Optoelectronics and Optical Communications,College of Liberal Arts and Sciences,18800,Physics and Optical Science,18800,Physics and Optical Science,College of Liberal Arts and Sciences,8/9/2017,8,2018,2016-07-15,2021-06-30,Supplement,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Optoelectronics Center,CLAS,1624572 MOD5,OR - Organized Research (110),47.041,,,,
2648,The Charlotte Initiative: Principles for Permanent Acquisition of eBooks for Libraries,15-0360,New,560216,A15-0239-001,271000,800853196,"Siler, Elizabeth","Hamaker, Charles",Andrew W Mellon Foundation,Foundation,13199,No,"Bradley, Alison; Siler, Elizabeth; Hoon, Peggy;",['rec3c6WKvJuv7Vmg4'],Library,Academic Affairs,25600,Library Technical Services,25300,Library Collection Dev and Elec Resorces,Academic Affairs,4/1/2015,4,2015,2015-04-01,2017-11-30,New,Other - Choose,01 - Research & Development (R&D),,,,,,Library,Academic Affairs,Letter dated 5/25/15,OS - Other Sponsored Activities (401),0,,,,
3304,CFD Aided Exhaust System Design,18-0550,New,560556,A18-0161-001,33526,800589714,"Uddin, Mesbah","Uddin, Mesbah","Clean Energy NC, LLC",Business and Industry,34914,No,,['rec1NM8Qi1Vd5d9RM'],Motorsports and Automotive Research Center,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,2/7/2018,2,2018,2018-01-15,2019-06-30,New,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,Motorsports Engineering,ENG,2975-2018-0550,OR - Organized Research (110),0,,,,
993,Science of Security Lablet,14-0318,New,,A14-0230-002,118550,800682124,"Al-shaer, Ehab","Al-shaer, Ehab",North Carolina State University (NCSU),Educational and Research Institutions,12924,No,,['recm9Y4qUnFK0GBja'],Software and Information Systems,College of Computing and Informatics,23300,Software and Information Systems,23300,Software and Information Systems,College of Computing and Informatics,7/31/2015,7,2016,2014-03-28,2018-09-30,,(20 - 25) Contract,01 - Research & Development (R&D),5528,DOD National Security Agency (NSA),,,,SIS,CCI,14-1267-02 (MOD2),OR - Organized Research (110),12.902,,,,
2197,Industrial membership fees for the UNC Charlotte Site of I/UCRC Robots and Sensors for the Human Well-being,15-0714,New,56B214,A15-0233-003,10000,800211846,"Xiao, Jing","Xiao, Jing",All Other Business and Industry,Business and Industry,6010,No,,['recyLjbc94uVNYe4R'],Computer Science,College of Computing and Informatics,23200,Computer Science,23200,Computer Science,College of Computing and Informatics,6/8/2016,6,2016,2015-05-01,2019-04-30,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),,,,,,CS,CCI,ABB Yr 1,OR - Organized Research (110),0,,,,
894,Launching The Latin Americanist at UNC Press,19-0424,New,Dated 3/21/2019,A19-0191-001,4000,800213137,"Weeks, Gregory","Weeks, Gregory",UNC Press Office of Scholarly Publishing Services (OSPS),Business and Industry,28225,No,"Buchenau, Jurgen",['rec4TT9XCl21ikJvw'],History,College of Liberal Arts and Sciences,15300,Deans Office College of Liberal Arts and Sciences,15300,Deans Office College of Liberal Arts and Sciences,College of Liberal Arts and Sciences,3/29/2019,3,2019,2019-01-01,2019-12-31,,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,History,CLAS,Dated 3/21/19,OR - Organized Research (110),0,,,,
4104,Numerical Simulations of Turbulent Mixing due to the Richtmyer-Meshkov Instability,13-0659,New,501973,A14-0050-002,75000,800558757,"Ramaprabhu, Praveen","Ramaprabhu, Praveen",Los Alamos National Laboratory (LANL),Federal,5463,No,,['recr5XMwntc2PfxCf'],Mechanical Engineering,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering,College of Engineering,9/3/2014,9,2015,2013-08-30,2017-12-31,Supplement,(20 - 25) Contract,01 - Research & Development (R&D),5453,Department of Energy (DOE),,,,Mech Engineering & Engineering Sci,ENG,245450-1,OR - Organized Research (110),0,,,,
616,DoS English Language Specialist Award to Nepal Summer 2016.,16-0747,New,directsalas,A17-0013-001,14820,800557565,"Salas, Spencer","Salas, Spencer",Georgetown University,Educational and Research Institutions,11940,No,,['recZ1ZVxThREDMLBj'],"Middle, Secondary and K-12 Education",College of Education,21200,"Middle, Secondary and K-12 Education",21200,"Middle, Secondary and K-12 Education",College of Education,6/13/2016,6,2016,2016-07-09,2016-08-03,New,Other - Choose,06 - Other,5409,Department of State (DOS),,,,Middle Grades Secondary & K-12,Education,DIRECT AWARD GR204228-[SS]-FY16-NP-002,OS - Other Sponsored Activities (401),0,,,,
1785,EPIC Affiliates Industry Memberships for seed funded projects.,17-0628,New,560491,A17-0274-001,10000,800987748,"Kopitopoulou, Christina","Kopitopoulou, Christina",Piedmont Natural Gas Company,Business and Industry,11439,No,,['rechx0G6DDzq9e11j'],Energy Production and Infrastructure Center,College of Engineering,22150,Energy Production and Infrastructure Center,22150,Energy Production and Infrastructure Center,College of Engineering,4/25/2018,4,2018,2017-01-01,2025-12-31,New,(20 - 25) Contract,06 - Other,,,,,,EPIC,ENG,Piedmont Natural Gas Years 1-2,OS - Other Sponsored Activities (401),0,,,,
2223,Charlotte Biomedical Science and Engineering 2017,17-0639,New,560467,A17-0208-001,1000,800203067,"Lee, Charles","Lee, Charles",North Carolina Biotechnology Center (NCBC),Nonprofit Organization,16149,No,"Tapper, Nataly",['recr5XMwntc2PfxCf'],Mechanical Engineering and Engineering Science,College of Engineering,22000,Mechanical Engineering and Engineering Science,22000,Mechanical Engineering and Engineering Science,College of Engineering,4/24/2017,4,2017,2017-04-04,2017-06-17,New,(10 - 15) Grant,06 - Other,,,,,,Mech Engineering & Engineering Sci,ENG,2017-BES-0217,OS - Other Sponsored Activities (401),0,9/17/2017,,,
74,Substance P exacerbation of CNS inflammation,12-0580,Renewal (Competitive),501879,A13-0063-004,438417,800212364,"Marriott, Ian","Marriott, Ian",National Institutes of Health (NIH),Federal,5332,No,"Bost, Kenneth; Johnson, Morgan;",['reczYCftV7YK7l9FJ'],Biology (Dpt),College of Liberal Arts and Sciences,17200,Biological Sciences,17200,Biology (Dpt),College of Liberal Arts and Sciences,5/15/2015,5,2015,2004-12-01,2018-05-31,Supplement,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Biological Sciences,CLAS,R01NS050325-08,OR - Organized Research (110),93.583,,,,
3811,"Displace, Return, and Reconstruct: Population Movement and Resilience to Instability",17-0840,New,530664,A18-0197-001,358149,800002470,"Walsh, James","Walsh, James",Department of Defense (DOD),Federal,5522,No,"Thill, Jean-Claude",['recr1nGVxrf8kx1R9'],Political Science and Public Administration,College of Liberal Arts and Sciences,19000,Political Science and Public Administration,19000,Political Science and Public Administration,College of Liberal Arts and Sciences,3/16/2018,3,2018,2018-02-20,2021-02-19,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Political Science & Public Admin,CLAS,W911NF-18-1-0089,OR - Organized Research (110),12.431,,,,
